,completename,nodeId,label,CC,PC,LOC,NCMIC,NCMEC,NECA,NAMFAEC,classID,NCM
96,io_realm_internal_UncheckedRow_getBinaryByteArray,96,0,1,1,3,1,0,0,0,23,1
97,io_realm_internal_UncheckedRow_setNull,97,0,1,1,8,1,1,1,1,23,2
98,io_realm_internal_UncheckedRow_getValueList,98,0,1,2,3,0,1,1,1,23,1
99,io_realm_internal_OsList_addLong,99,0,1,1,3,1,0,0,0,0,1
100,io_realm_mongodb_functions_Functions_invoke,100,0,1,4,1,0,0,0,0,38,0
101,io_realm_internal_UncheckedRow_setFloat,101,0,1,2,4,1,1,1,1,23,2
102,io_realm_TestHelper_createTable,102,0,1,2,24,1,5,1,5,39,6
103,io_realm_TestHelper_createTableWithAllColumnTypes,103,0,1,1,36,1,6,2,5,39,7
104,io_realm_TestHelper_getFailureLogger,104,0,2,1,18,0,0,0,0,39,0
105,io_realm_entities_NoPrimaryKeyNullTypes_setFieldLongNull,105,0,1,1,3,0,0,0,0,40,0
106,io_realm_entities_NoPrimaryKeyNullTypes_setFieldShortNotNull,106,0,1,1,3,0,0,0,0,40,0
107,io_realm_examples_rxjava_retrofit_RetrofitExample_createGitHubApi,107,0,2,0,2,0,0,0,0,41,0
108,io_realm_ManagedOrderedRealmCollectionTests_runMethodOnWrongThread,108,0,14,1,71,0,4,1,4,42,4
109,io_realm_ManagedRealmCollectionTests_createCollection,109,0,6,1,19,0,7,4,4,43,7
110,io_realm_mongodb_mongo_options_FindOptions_sort,110,0,1,1,9,0,0,0,0,44,0
111,io_realm_internal_Table_nativeSetBoolean,111,0,1,5,1,0,0,0,0,45,0
112,io_realm_internal_Table_nativeIncrementLong,112,0,1,4,1,0,0,0,0,45,0
113,io_realm_mongodb_App_hashCode,113,0,1,0,5,0,1,1,1,7,1
114,io_realm_mongodb_User_getDeviceId,114,0,1,0,3,0,1,1,1,46,1
115,io_realm_mongodb_User_getApp,115,0,1,0,3,0,0,0,0,46,0
116,io_realm_mongodb_User_hashCode,116,0,1,0,3,0,2,2,1,46,2
117,io_realm_mongodb_User_checkLoggedIn,117,0,2,0,3,1,0,0,0,46,1
118,io_realm_mongodb_Credentials_Credentials,118,0,1,2,4,0,0,0,0,24,0
119,io_realm_mongodb_EmailPasswordAuthImpl_nativeCallFunction,119,0,1,4,1,0,0,0,0,47,0
120,io_realm_mongodb_sync_SyncSession_nativeAddProgressListener,120,0,1,5,1,0,0,0,0,48,0
121,io_realm_mongodb_sync_Progress_Progress,121,0,1,2,9,0,0,0,0,49,0
122,io_realm_mongodb_mongo_MongoNamespace_getFullName,122,0,1,0,7,0,0,0,0,1,0
123,io_realm_mongodb_mongo_options_FindOptions_limit,123,0,1,1,9,0,0,0,0,44,0
124,io_realm_internal_OsObject_setObserverPairs,124,0,3,1,9,1,1,1,1,13,2
125,io_realm_mongodb_mongo_iterable_FindIterable_nativeFind,125,0,1,7,1,0,0,0,0,50,0
126,io_realm_internal_OsObject_addListener,126,0,2,2,7,1,2,1,2,13,3
127,io_realm_internal_OsObject_createRow,127,0,1,1,9,1,1,1,1,13,2
128,io_realm_mongodb_log_obfuscator_HttpLogObfuscator_equals,128,0,3,1,6,0,0,0,0,51,0
129,io_realm_MutableRealmIntegerTests_checkTransactionException,129,0,1,1,3,1,0,0,0,52,1
130,io_realm_OrderedRealmCollectionTests_createCollectionWithMultipleCopies,130,0,7,2,30,0,13,8,3,53,13
131,io_realm_RealmJsonTests_createObjectFromJson_objectIdAsString,131,1,1,0,10,0,0,0,0,54,0
132,io_realm_RealmJsonTests_createObjectFromJson_emptyChildObjectList,132,1,1,0,10,0,0,0,0,54,0
133,io_realm_RealmJsonTests_createObjectFromJson_objectWithPrimaryKeySetValueDirectlyFromJsonObject,133,1,1,0,15,0,0,0,0,54,0
134,io_realm_RealmObjectSchemaTests_renameField_withPrimaryKey,134,1,2,0,13,0,0,0,0,55,0
135,io_realm_RealmQueryTests_populateTestRealm,135,0,2,2,3,1,21,6,10,56,22
136,io_realm_RealmTests_populateTestRealm,136,0,1,0,3,1,18,5,9,57,19
137,io_realm_RealmSchemaTests_remove_shouldRemoveInfoFromPKTable,137,1,2,0,18,0,0,0,0,58,0
138,io_realm_SortTest_checkSortTwoFieldsStringAscendingIntAscending,138,0,1,1,15,1,6,3,3,59,7
139,io_realm_ProxyState_load,139,0,2,0,5,0,1,1,1,60,1
140,io_realm_RealmList_deleteAllFromRealm,140,0,3,0,19,2,2,1,2,19,4
141,io_realm_RealmList_first,141,0,1,0,6,2,0,0,0,19,2
142,io_realm_RealmObjectSchema_isRequired,142,0,1,1,11,1,1,1,1,61,2
143,io_realm_RealmObjectSchema_addRealmListField,143,0,1,2,20,0,0,0,0,61,0
144,io_realm_RealmObjectSchema_getFieldColumnKey,144,0,1,1,9,0,1,1,1,61,1
145,io_realm_RealmQuery_greaterThanOrEqualTo,145,0,1,2,12,0,27,2,18,62,27
146,io_realm_RealmQuery_greaterThan,146,0,1,2,12,0,27,2,18,62,27
147,io_realm_RealmResults_removeAllChangeListeners,147,0,1,0,9,1,1,1,1,25,2
148,io_realm_entities_DefaultValueFromOtherConstructor_DefaultValueFromOtherConstructor,148,0,1,1,3,1,0,0,0,63,1
149,io_realm_entities_NoPrimaryKeyNullTypes_setFieldBooleanNull,149,0,1,1,3,0,0,0,0,40,0
150,io_realm_entities_NoPrimaryKeyNullTypes_setFieldDoubleNotNull,150,0,1,1,3,0,0,0,0,40,0
151,io_realm_entities_AllTypes_setColumnMutableRealmInteger,151,0,1,1,3,0,1,1,1,64,1
152,io_realm_entities_Owner_getDogs,152,0,1,0,3,0,0,0,0,65,0
153,io_realm_entities_PrimaryKeyAsBoxedByte_PrimaryKeyAsBoxedByte,153,0,1,2,4,0,0,0,0,66,0
154,io_realm_entities_NullTypes_getFieldDoubleListNotNull,154,0,1,0,3,0,0,0,0,67,0
155,io_realm_entities_NullTypes_setFieldDecimal128Null,155,0,1,1,3,0,0,0,0,67,0
156,io_realm_internal_android_AndroidRealmNotifier_AndroidRealmNotifier,156,0,2,2,9,0,2,2,1,68,2
157,io_realm_internal_JNITableInsertTest_tearDown,157,1,2,0,5,0,2,1,2,69,2
158,io_realm_internal_PrimaryKeyTests_getTableWithPrimaryKey,158,0,1,2,4,0,3,3,1,70,3
159,io_realm_internal_ColumnInfo_ColumnInfo,159,0,2,2,6,2,0,0,0,71,2
160,io_realm_internal_IOException_IOException,160,0,1,1,3,0,0,0,0,72,0
161,io_realm_internal_OsCollectionChangeSet_longArrayToRangeArray,161,0,3,1,10,0,0,0,0,10,0
162,io_realm_internal_OsCollectionChangeSet_isFirstAsyncCallback,162,0,1,0,7,0,0,0,0,10,0
163,io_realm_internal_OsList_move,163,0,1,2,3,1,0,0,0,0,1
164,io_realm_internal_OsList_removeListener,164,0,1,2,3,2,2,1,2,0,4
165,io_realm_internal_OsList_nativeAddString,165,0,1,2,1,0,0,0,0,0,0
166,io_realm_internal_OsObjectSchemaInfo_nativeCreateRealmObjectSchema,166,0,1,2,1,0,0,0,0,73,0
167,io_realm_internal_OsResults_nativeEvaluateQueryIfNeeded,167,0,1,2,1,0,0,0,0,37,0
168,io_realm_internal_OsResults_removeListener,168,0,1,2,3,2,2,1,2,37,4
169,io_realm_internal_OsResults_nativeIndexOf,169,0,1,2,1,0,0,0,0,37,0
170,io_realm_internal_OsSharedRealm_nativeCreateTable,170,0,1,2,1,0,0,0,0,16,0
171,io_realm_internal_Table_nativeSetEmbedded,171,0,1,2,1,0,0,0,0,45,0
172,io_realm_internal_OsSharedRealm_nativeGetSchemaInfo,172,0,1,1,1,0,0,0,0,16,0
173,io_realm_internal_RealmProxyMediator_getModelClasses,173,0,1,0,5,0,0,0,0,9,0
174,io_realm_internal_Table_count,174,0,1,2,3,4,0,0,0,45,4
175,io_realm_internal_Table_getColumnType,175,0,1,1,8,1,0,0,0,45,1
176,io_realm_internal_Table_nativeFindFirstTimestamp,176,0,1,3,1,0,0,0,0,45,0
177,io_realm_internal_Table_nativeFindFirstDecimal128,177,0,1,4,1,0,0,0,0,45,0
178,io_realm_internal_TableQuery_nativeAverageFloat,178,0,1,2,1,0,0,0,0,12,0
179,io_realm_internal_TableQuery_minimumDecimal128,179,0,2,1,8,2,0,0,0,12,2
180,io_realm_internal_Util_getStackTrace,180,0,1,1,19,0,0,0,0,74,0
181,io_realm_internal_UncheckedRow_nativeGetLink,181,0,1,2,1,0,0,0,0,23,0
182,io_realm_internal_test_ExtraTests_assertArrayEquals,182,0,1,2,3,0,0,0,0,75,0
183,io_realm_exceptions_RealmFileException_RealmFileException,183,0,1,3,4,0,0,0,0,76,0
184,io_realm_internal_objectstore_OsApp_nativeGetAllUsers,184,0,1,1,1,0,0,0,0,77,0
185,io_realm_rx_RxObservableFactory_from,185,0,1,2,8,0,0,0,0,4,0
186,io_realm_internal_objectstore_OsMongoDatabase_getCollection,186,0,1,2,4,2,1,1,1,78,3
187,io_realm_internal_objectstore_OsSyncUser_nativeGetMaxAge,187,0,1,1,1,0,0,0,0,79,0
188,io_realm_internal_objectstore_OsWatchStream_nativeGetFinalizerMethodPtr,188,0,1,0,1,0,0,0,0,80,0
189,io_realm_internal_objectserver_Token_Token,189,0,1,5,13,1,0,0,0,81,1
190,io_realm_internal_log_obfuscator_EmailPasswordObfuscator_EmailPasswordObfuscator,190,0,1,1,3,0,1,1,1,82,1
191,io_realm_mongodb_UserProfile_getEmail,191,0,1,0,8,0,1,1,1,27,1
192,io_realm_RealmCache_getCache,192,0,5,2,3,1,0,0,0,83,1
193,io_realm_internal_OsRealmConfig_nativeSetSchemaConfig,193,0,1,5,3,0,0,0,0,84,0
194,io_realm_internal_OsRealmConfig_getRealmConfiguration,194,0,1,0,3,0,0,0,0,84,0
195,io_realm_internal_OsRealmConfig_getContext,195,0,1,0,3,0,0,0,0,84,0
196,io_realm_DoubleListOperator_DoubleListOperator,196,0,1,3,3,0,1,1,1,85,1
197,io_realm_BooleanListOperator_BooleanListOperator,197,0,1,3,3,0,1,1,1,86,1
198,io_realm_RealmCache_createRealmOrGetFromCache,198,0,1,2,3,4,2,1,2,83,6
199,io_realm_RealmCache_createRealmOrGetFromCacheAsync,199,0,1,3,3,2,1,1,1,83,3
200,io_realm_internal_OsRealmConfig_nativeSetSyncConfigProxySettings,200,0,1,4,3,0,0,0,0,84,0
201,io_realm_internal_OsRealmConfig_nativeCreateAndSetSyncConfig,201,0,1,15,3,0,0,0,0,84,0
202,io_realm_mongodb_User_getCustomData,202,0,1,0,3,0,1,1,1,46,1
203,io_realm_RealmQuery_equalTo,203,0,1,2,12,2,43,2,29,62,45
204,io_realm_OrderedRealmCollectionImpl_sort,204,0,1,4,6,3,7,3,3,30,10
205,io_realm_RealmList_addChangeListener,205,0,1,1,31,0,4,2,2,19,4
206,some_test_AllTypes_realmGet$columnFloat,206,0,1,0,3,0,0,0,0,87,0
207,io_realm_examples_unittesting_ExampleActivity_cleanUp,207,0,1,0,2,0,1,1,1,88,1
208,io_realm_RealmJsonTests_createOrUpdateObjectFromJson_jsonObjectNullClass,208,1,1,0,11,0,0,0,0,89,0
209,io_realm_mongodb_sync_SyncSession_addProgressListener,209,0,2,3,13,2,2,2,1,48,4
210,io_realm_RealmList_last,210,0,1,0,6,2,0,0,0,19,2
211,io_realm_internal_OsSharedRealm_getTable,211,0,1,1,10,1,1,1,1,16,2
212,some_test_NullTypes_realmGet$fieldDateNull,212,0,1,0,3,0,0,0,0,90,0
213,io_realm_internal_Row_getTable,213,0,1,0,1,0,0,0,0,14,0
214,io_realm_internal_Table_findFirstBoolean,214,0,1,2,3,1,0,0,0,45,1
215,io_realm_RealmConfiguration_shouldDeleteRealmIfMigrationNeeded,215,0,1,0,3,0,0,0,0,32,0
216,io_realm_RealmCache_doCreateRealmOrGetFromCache,216,0,4,3,3,5,6,2,3,83,11
217,io_realm_OrderedRealmCollection_deleteLastFromRealm,217,0,1,0,7,0,0,0,0,91,0
218,io_realm_entities_NonLatinFieldNames_getChildren,218,0,1,0,3,0,0,0,0,92,0
219,io_realm_internal_OsList_addNull,219,0,1,0,3,1,0,0,0,0,1
220,io_realm_TestHelper_awaitOrFail,220,0,1,1,13,1,0,0,0,39,1
221,io_realm_RealmObject_getRealm,221,0,1,0,26,2,3,3,1,31,5
222,io_realm_internal_TableQuery_contains,222,0,1,3,5,0,0,0,0,12,0
223,io_realm_internal_TableQuery_endsWith,223,0,1,4,5,0,0,0,0,12,0
224,some_test_Transient_realmSet$age,224,0,1,1,3,0,0,0,0,93,0
225,io_realm_RealmQuery_min,225,0,5,1,25,0,8,4,4,62,8
226,io_realm_RealmQuery_in,226,0,3,2,22,11,20,1,20,62,31
227,io_realm_RealmQuery_findAllAsync,227,0,1,0,10,1,2,2,1,62,3
228,io_realm_RealmQuery_notEqualTo,228,0,2,2,12,3,41,2,28,62,44
229,io_realm_Realm_insert,229,0,2,1,31,0,6,3,2,22,6
230,io_realm_RealmQuery_distinct,230,0,1,1,21,0,2,1,2,62,2
231,io_realm_RealmResults_setBoolean,231,0,1,2,13,3,2,2,1,25,5
232,io_realm_RealmQuery_count,232,0,1,0,11,1,3,2,2,62,4
233,io_realm_RealmQuery_findAll,233,0,1,0,18,1,2,1,2,62,3
234,io_realm_internal_Table_Table,234,0,1,2,6,0,1,1,1,45,1
235,io_realm_mongodb_sync_SyncSession_close,235,0,1,0,12,2,1,1,1,48,3
236,io_realm_internal_Table_nativeSetLong,236,0,1,5,1,0,0,0,0,45,0
237,io_realm_internal_OsResults_distinct,237,0,1,1,4,1,0,0,0,37,1
238,io_realm_RealmQuery_between,238,0,1,3,13,0,21,2,14,62,21
239,io_realm_RealmQuery_isEmpty,239,0,1,1,12,0,3,2,2,62,3
240,io_realm_internal_TableQuery_TableQuery,240,0,2,3,8,0,1,1,1,12,1
241,io_realm_RealmQuery_beginsWith,241,0,1,3,18,3,5,3,3,62,8
242,io_realm_SortTest_factorial,242,0,2,1,7,0,0,0,0,59,0
243,io_realm_entities_Dog_setBirthday,243,0,1,1,3,0,0,0,0,94,0
244,io_realm_ProxyState_setRow$realm,244,0,1,1,3,0,0,0,0,60,0
245,io_realm_BaseRealm_refresh,245,0,2,0,19,3,1,1,1,95,4
246,io_realm_RealmCollection_load,246,0,1,0,5,0,0,0,0,96,0
247,io_realm_RealmList_add,247,0,1,1,23,4,2,1,2,19,6
248,io_realm_internal_OsSharedRealm_cancelTransaction,248,0,1,0,3,1,0,0,0,16,1
249,io_realm_internal_OsSharedRealm_OsSharedRealm,249,0,4,2,14,8,11,6,3,16,19
250,io_realm_internal_OsSharedRealm_beginTransaction,250,0,1,0,5,3,0,0,0,16,3
251,io_realm_internal_OsSharedRealm_hasTable,251,0,1,1,3,1,0,0,0,16,1
252,io_realm_entities_NullTypes_getFieldFloatNotNull,252,0,1,0,3,0,0,0,0,67,0
253,io_realm_internal_Table_nativeGetColumnNames,253,0,1,1,1,0,0,0,0,45,0
254,io_realm_internal_Table_nativeCountString,254,0,1,3,1,0,0,0,0,45,0
255,io_realm_entities_BacklinksTarget_setId,255,0,1,1,3,0,0,0,0,97,0
256,io_realm_internal_Table_nativeRemoveColumn,256,0,1,2,1,0,0,0,0,45,0
257,io_realm_BaseRealm_isFrozen,257,0,2,0,11,0,1,1,1,95,1
258,io_realm_RealmConfiguration_getRealmFileName,258,0,1,0,3,0,0,0,0,32,0
259,io_realm_OrderedRealmCollectionSnapshot_size,259,0,2,0,9,0,1,1,1,98,1
260,io_realm_RealmConfiguration_getEncryptionKey,260,0,1,0,3,0,0,0,0,32,0
261,io_realm_BaseRealm_checkAllowQueriesOnUiThread,261,0,3,0,10,2,3,3,1,95,5
262,io_realm_BaseRealm_getEmbeddedObjectRow,262,0,3,5,30,0,10,6,5,95,10
263,io_realm_BaseRealm_freeze,263,0,1,0,14,0,0,0,0,95,0
264,io_realm_BaseRealm_getConfiguration,264,0,1,0,7,0,0,0,0,95,0
265,io_realm_BaseRealm_checkAllowWritesOnUiThread,265,0,3,0,10,2,3,3,1,95,5
266,io_realm_BaseRealm_getSharedRealm,266,0,1,0,3,0,0,0,0,95,0
267,io_realm_Realm_removeAllChangeListeners,267,0,1,0,8,0,1,1,1,22,1
268,io_realm_BaseRealm_checkNotInSync,268,0,2,0,8,0,1,1,1,95,1
269,io_realm_internal_ObserverPairList_isEmpty,269,0,1,0,3,0,0,0,0,99,0
270,io_realm_RealmConfiguration_hasAssetFile,270,0,1,0,7,0,1,1,1,32,1
271,io_realm_RealmConfiguration_getCompactOnLaunchCallback,271,0,1,0,9,0,0,0,0,32,0
272,io_realm_internal_OsSharedRealmTests_renameTable,272,1,1,0,9,0,5,1,5,21,5
273,io_realm_RealmConfiguration_getRealmObjectClasses,273,0,1,0,7,0,1,1,1,32,1
274,io_realm_internal_Table_nativeFreeze,274,0,1,2,1,0,0,0,0,45,0
275,io_realm_mongodb_UserProfile_getFirstName,275,0,1,0,7,0,1,1,1,27,1
276,io_realm_internal_PendingRow_notifyFrontEnd,276,0,5,0,24,1,3,2,2,100,4
277,io_realm_mongodb_UserProfile_getLastName,277,0,1,0,7,0,1,1,1,27,1
278,io_realm_mongodb_mongo_events_BaseChangeEvent_getDocumentKey,278,0,1,0,7,0,0,0,0,101,0
279,io_realm_internal_async_RealmThreadPoolExecutor_newDefaultExecutor,279,0,1,0,6,1,0,0,0,102,1
280,io_realm_internal_OsSharedRealm_nativeWaitForChange,280,0,1,1,1,0,0,0,0,16,0
281,io_realm_internal_Row_getColumnNames,281,0,1,0,5,0,0,0,0,14,0
282,io_realm_internal_OsSharedRealm_nativeGetTablesName,282,0,1,1,1,0,0,0,0,16,0
283,io_realm_internal_OsSharedRealm_nativeWriteCopy,283,0,1,3,1,0,0,0,0,16,0
284,io_realm_internal_Table_isPrimaryKey,284,0,1,1,8,2,1,1,1,45,3
285,io_realm_internal_Table_findFirstLong,285,0,1,2,3,1,0,0,0,45,1
286,io_realm_internal_TableQuery_greaterThan,286,0,1,3,5,0,0,0,0,12,0
287,io_realm_internal_TableQuery_alwaysFalse,287,0,1,0,5,0,0,0,0,12,0
288,io_realm_internal_TableQuery_lessThan,288,0,1,3,5,0,0,0,0,12,0
289,io_realm_internal_TableQuery_averageInt,289,0,1,1,4,2,0,0,0,12,2
290,io_realm_internal_TableQuery_notEqualTo,290,0,1,3,5,0,0,0,0,12,0
291,io_realm_internal_TableQuery_between,291,0,1,3,5,0,0,0,0,12,0
292,io_realm_OrderedRealmCollection_first,292,0,1,0,5,0,0,0,0,91,0
293,io_realm_ManagedRealmListForValueTests_assertValueEquals,293,0,2,3,8,1,0,0,0,103,1
294,io_realm_OrderedCollectionChangeSet_getInsertions,294,0,1,0,5,0,0,0,0,29,0
295,io_realm_MutableRealmObjectSchema_addModifiers,295,0,5,2,22,3,2,2,1,104,5
