,completename,nodeId,label,CC,PC,LOC,NCMIC,NCMEC,NECA,NAMFAEC,classID,NCM
35,com_google_security_zynamics_zylib_gui_zygraph_realizers_KeyBehaviours_CAbstractKeyBehavior_getLastLineXPos,35,0,2,1,8,1,1,1,1,21,2
36,com_google_security_zynamics_zylib_gui_zygraph_realizers_KeyBehaviours_CCursorKeyBehavior_handleShiftAndCtrl,36,0,16,2,70,1,12,3,10,28,13
37,com_google_security_zynamics_zylib_gui_zygraph_realizers_ZyLineContent_setBackgroundColor,37,0,2,3,14,4,0,0,0,29,4
38,com_google_security_zynamics_zylib_types_common_CollectionHelpers_count,38,0,1,2,2,0,0,0,0,30,0
39,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_AbstractZyGraph_showNodes,39,0,5,3,21,10,14,5,4,31,24
40,com_google_security_zynamics_zylib_types_graphs_MutableDirectedGraph_MutableDirectedGraph,40,0,3,2,16,1,0,0,0,32,1
41,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_GraphExporters_configureExportView,41,0,1,1,7,0,0,0,0,33,0
42,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_IZyGraphListener_edgeClicked,42,0,1,4,1,0,0,0,0,34,0
43,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_edges_ZyGraphEdge_ZyGraphEdge,43,0,2,5,23,0,14,3,7,35,14
44,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_edges_ZyInfoEdge_ZyInfoEdge,44,0,1,4,3,0,1,1,1,36,1
45,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_editmode_actions_CDefaultNodeEnterAction_highlightEdges,45,0,1,1,7,0,1,1,1,37,1
46,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_GraphExporters_exportGraphPartToImageFileFormat,46,0,1,3,3,1,0,0,0,33,1
47,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_edges_ZyGraphEdge_getTarget,47,0,1,0,3,0,0,0,0,35,0
48,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_ZyGraphMappings_getEdge,48,0,1,1,3,0,2,2,1,38,2
49,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_IZyGraphListener_proximityBrowserNodeClicked,49,0,1,4,1,0,0,0,0,34,0
50,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_editmode_states_CBendClickedLeftState_getGraph,50,0,1,0,3,0,0,0,0,39,0
51,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_proximity_ZyDefaultProximityBrowser_ZyDefaultProximityBrowser,51,0,1,2,6,2,1,1,1,40,3
52,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_editmode_states_CEdgePressedLeftState_CEdgePressedLeftState,52,0,1,3,5,0,0,0,0,41,0
53,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_functions_ZoomFunctions_zoomToNode,53,0,2,4,14,0,21,7,8,42,21
54,com_google_security_zynamics_binnavi_Database_MockClasses_MockDatabase_getContent,54,0,1,0,3,0,0,0,0,43,0
55,com_google_security_zynamics_binnavi_Debug_Connection_CMockReader_CMockReader,55,0,1,0,3,0,0,0,0,44,0
56,com_google_security_zynamics_binnavi_Debug_Debugger_MockDebugger_MockDebugger,56,0,1,1,4,0,2,1,2,45,2
57,com_google_security_zynamics_binnavi_Debug_Debugger_DebuggerMessageBuilder_buildBreakpointSuccess,57,0,1,1,3,0,2,2,1,46,2
58,com_google_security_zynamics_binnavi_Gui_MainWindow_ProjectTree_Nodes_Project_Component_CProjectSaveProgressOperation_CProjectSaveProgressOperation,58,1,1,0,21,0,0,0,0,47,0
59,com_google_security_zynamics_binnavi_API_debug_Bookmark_Bookmark,59,0,1,1,8,0,1,1,1,48,1
60,com_google_security_zynamics_binnavi_API_debug_BookmarkManager_BookmarkManager,60,0,2,1,11,0,2,2,1,49,2
61,com_google_security_zynamics_binnavi_API_debug_BookmarkManager_toString,61,0,1,0,7,1,0,0,0,49,1
62,com_google_security_zynamics_binnavi_API_debug_BreakpointHelpers_getBreakpoints,62,0,1,2,12,3,30,17,4,50,33
63,com_google_security_zynamics_binnavi_API_debug_Breakpoint_getAddress,63,0,1,0,7,0,5,5,1,51,5
64,com_google_security_zynamics_binnavi_API_debug_Breakpoint_toString,64,0,1,0,3,1,0,0,0,51,1
65,com_google_security_zynamics_binnavi_API_debug_BookmarkManager_removeBookmark,65,1,1,1,10,0,4,3,2,49,4
66,com_google_security_zynamics_binnavi_API_debug_BreakpointManager_hasEchoBreakpoint,66,0,1,2,10,0,6,6,1,52,6
67,com_google_security_zynamics_binnavi_API_debug_BreakpointManager_removeListener,67,0,1,1,7,0,1,1,1,52,1
68,com_google_security_zynamics_binnavi_API_debug_Breakpoint_getDescription,68,0,1,0,7,0,1,1,1,51,1
69,com_google_security_zynamics_binnavi_API_debug_Debugger_terminate,69,0,1,0,12,0,2,2,1,53,2
70,com_google_security_zynamics_binnavi_API_debug_DebuggerAnyBreakpointHitReply_DebuggerAnyBreakpointHitReply,70,0,1,1,3,0,1,1,1,54,1
71,com_google_security_zynamics_binnavi_API_debug_Memory_getData,71,0,1,2,17,0,2,2,1,55,2
72,com_google_security_zynamics_binnavi_API_debug_Process_getMemoryMap,72,0,1,0,8,0,0,0,0,56,0
73,com_google_security_zynamics_binnavi_API_debug_Process_Process,73,0,3,1,17,0,11,6,6,56,11
74,com_google_security_zynamics_binnavi_API_debug_MemoryMap_getSections,74,0,2,0,12,0,1,1,1,57,1
75,com_google_security_zynamics_binnavi_API_debug_Process_getThreads,75,0,1,0,7,0,0,0,0,56,0
76,com_google_security_zynamics_binnavi_API_debug_Process_removeListener,76,0,1,1,9,0,1,1,1,56,1
77,com_google_security_zynamics_binnavi_API_debug_MemorySection_MemorySection,77,0,1,1,7,0,0,0,0,58,0
78,com_google_security_zynamics_binnavi_API_debug_MemoryModule_getName,78,0,1,0,7,0,1,1,1,59,1
79,com_google_security_zynamics_binnavi_API_debug_MemorySection_getStart,79,0,1,0,7,0,3,3,1,58,3
80,com_google_security_zynamics_binnavi_API_debug_TargetInformation_canValidateMemory,80,0,1,0,7,0,2,2,1,60,2
81,com_google_security_zynamics_binnavi_API_debug_TargetInformation_getAddressSize,81,0,1,0,8,0,1,1,1,60,1
82,com_google_security_zynamics_binnavi_API_debug_TargetInformation_canAttach,82,0,1,0,7,0,2,2,1,60,2
83,com_google_security_zynamics_binnavi_API_debug_Thread_addListener,83,0,1,1,9,0,1,1,1,61,1
84,com_google_security_zynamics_binnavi_API_debug_TargetInformation_canHalt,84,0,1,0,7,0,2,2,1,60,2
85,com_google_security_zynamics_binnavi_API_debug_TargetInformation_canSoftwareBreakpoint,85,0,1,0,7,0,2,2,1,60,2
86,com_google_security_zynamics_binnavi_API_debug_Register_isStackPointer,86,0,1,0,7,0,1,1,1,62,1
87,com_google_security_zynamics_binnavi_API_debug_TargetInformation_canDetach,87,0,1,0,7,0,2,2,1,60,2
88,com_google_security_zynamics_binnavi_API_debug_Thread_Thread,88,0,1,1,9,0,1,1,1,61,1
89,com_google_security_zynamics_binnavi_API_debug_TargetInformation_canMultithread,89,0,1,0,7,0,2,2,1,60,2
90,com_google_security_zynamics_binnavi_API_debug_TraceLogger_getTraces,90,0,1,0,7,0,2,2,1,63,2
91,com_google_security_zynamics_binnavi_API_debug_BookmarkTest_testConstructor,91,1,1,0,4,0,3,2,2,64,3
92,com_google_security_zynamics_binnavi_API_debug_Thread_getState,92,0,1,0,7,0,1,1,1,61,1
93,com_google_security_zynamics_binnavi_API_debug_BookmarkManagerTest_testAddBookmark,93,1,1,0,30,0,14,6,5,65,14
94,com_google_security_zynamics_binnavi_API_debug_Thread_removeListener,94,0,1,1,9,0,1,1,1,61,1
95,com_google_security_zynamics_binnavi_API_debug_BreakpointTest_testConstructor,95,1,1,0,4,0,3,2,2,66,3
96,com_google_security_zynamics_binnavi_API_debug_BreakpointManagerTest_testRemoveEchoBreakpoint,96,1,1,0,16,0,9,5,5,67,9
97,com_google_security_zynamics_binnavi_API_debug_raw_RegisterValues_RegisterValues,97,0,2,1,11,0,1,1,1,68,1
98,com_google_security_zynamics_binnavi_API_debug_ThreadTest_testConstructor,98,1,1,0,7,0,5,1,5,69,5
99,com_google_security_zynamics_binnavi_API_debug_raw_RegisterValues_getValues,99,0,1,0,7,0,0,0,0,68,0
100,com_google_security_zynamics_binnavi_API_disassembly_Address_Address,100,0,1,1,7,0,0,0,0,70,0
101,com_google_security_zynamics_binnavi_API_disassembly_AddressSpace_addModule,101,0,2,1,18,0,9,9,1,71,9
102,com_google_security_zynamics_binnavi_API_disassembly_Address_equals,102,0,2,1,12,0,0,0,0,70,0
103,com_google_security_zynamics_binnavi_API_disassembly_Address_hashCode,103,0,1,0,3,0,0,0,0,70,0
104,com_google_security_zynamics_binnavi_API_disassembly_AddressSpace_getModules,104,0,2,0,10,1,0,0,0,71,1
105,com_google_security_zynamics_binnavi_API_disassembly_AddressSpace_getCreationDate,105,0,1,0,8,0,2,2,1,71,2
106,com_google_security_zynamics_binnavi_API_disassembly_AddressSpace_getModificationDate,106,0,1,0,8,0,2,2,1,71,2
107,com_google_security_zynamics_binnavi_API_disassembly_AddressSpace_getImagebase,107,0,1,1,9,0,5,5,1,71,5
108,com_google_security_zynamics_binnavi_API_disassembly_AddressSpace_load,108,0,2,0,15,1,2,2,1,71,3
109,com_google_security_zynamics_binnavi_API_disassembly_AddressSpace_getDescription,109,0,1,0,7,0,2,2,1,71,2
110,com_google_security_zynamics_binnavi_API_disassembly_BasicBlock_getComment,110,0,1,0,8,0,2,2,1,72,2
111,com_google_security_zynamics_binnavi_API_disassembly_BlockEdge_getTarget,111,0,1,0,7,0,1,1,1,73,1
112,com_google_security_zynamics_binnavi_API_disassembly_CodeNode_getNative,112,0,1,0,3,0,0,0,0,74,0
113,com_google_security_zynamics_binnavi_API_disassembly_CodeNode_removeListener,113,0,1,1,7,0,1,1,1,74,1
114,com_google_security_zynamics_binnavi_API_disassembly_CouldntConnectException_CouldntConnectException,114,0,1,1,7,0,0,0,0,75,0
115,com_google_security_zynamics_binnavi_API_disassembly_CouldntLoadDataException_CouldntLoadDataException,115,0,1,1,7,0,0,0,0,76,0
116,com_google_security_zynamics_binnavi_API_disassembly_Database_getDriver,116,0,1,0,7,0,2,2,1,77,2
117,com_google_security_zynamics_binnavi_API_disassembly_Database_deleteProject,117,0,1,1,14,0,4,4,1,77,4
118,com_google_security_zynamics_binnavi_API_disassembly_Database_disposedLoadedObjects,118,0,5,0,21,0,3,3,1,77,3
119,com_google_security_zynamics_binnavi_API_disassembly_Database_getNodeTagManager,119,0,2,0,10,1,0,0,0,77,1
120,com_google_security_zynamics_binnavi_API_disassembly_Database_getModules,120,0,2,0,16,2,0,0,0,77,2
121,com_google_security_zynamics_binnavi_API_disassembly_Database_getDebuggerTemplateManager,121,0,2,0,11,1,0,0,0,77,1
122,com_google_security_zynamics_binnavi_API_disassembly_Database_getNative,122,0,1,0,3,0,0,0,0,77,0
123,com_google_security_zynamics_binnavi_API_disassembly_Database_connect,123,0,1,0,31,0,6,6,1,77,6
124,com_google_security_zynamics_binnavi_API_disassembly_Database_createProject,124,0,1,1,19,0,4,4,1,77,4
125,com_google_security_zynamics_binnavi_API_disassembly_Database_getName,125,0,1,0,7,0,2,2,1,77,2
126,com_google_security_zynamics_binnavi_API_disassembly_CodeNode_addListener,126,0,1,1,7,0,1,1,1,74,1
127,com_google_security_zynamics_binnavi_API_disassembly_Database_setUser,127,0,1,1,8,0,2,2,1,77,2
128,com_google_security_zynamics_binnavi_API_disassembly_Database_setHost,128,0,1,1,8,0,2,2,1,77,2
129,com_google_security_zynamics_binnavi_API_disassembly_Database_getUser,129,0,1,0,7,0,2,2,1,77,2
130,com_google_security_zynamics_binnavi_API_disassembly_DebuggerTemplate_getNative,130,0,1,0,3,0,0,0,0,78,0
131,com_google_security_zynamics_binnavi_API_disassembly_DatabaseManager_DatabaseManager,131,0,2,1,12,0,2,2,1,79,2
132,com_google_security_zynamics_binnavi_API_disassembly_DebuggerTemplate_dispose,132,0,1,0,6,0,1,1,1,78,1
133,com_google_security_zynamics_binnavi_API_disassembly_Function_appendComment,133,0,1,1,16,0,3,3,1,80,3
134,com_google_security_zynamics_binnavi_API_disassembly_Function_getReilCode,134,0,3,0,24,1,5,5,1,80,6
135,com_google_security_zynamics_binnavi_API_disassembly_DebuggerTemplateManager_deleteDebugger,135,0,1,1,15,0,3,3,1,81,3
136,com_google_security_zynamics_binnavi_API_disassembly_DebuggerTemplateManager_addListener,136,0,1,1,11,0,1,1,1,81,1
137,com_google_security_zynamics_binnavi_API_disassembly_FlowGraph_FlowGraph,137,0,5,2,18,0,1,1,1,82,1
138,com_google_security_zynamics_binnavi_API_disassembly_DebuggerTemplateManager_getDebuggerTemplateCount,138,0,1,0,7,0,0,0,0,81,0
139,com_google_security_zynamics_binnavi_API_disassembly_FunctionEdge_toString,139,0,1,0,7,0,4,3,2,83,4
140,com_google_security_zynamics_binnavi_API_disassembly_FunctionBlock_link,140,0,1,2,11,0,0,0,0,84,0
141,com_google_security_zynamics_binnavi_API_disassembly_Function_getComment,141,0,1,0,8,0,1,1,1,80,1
142,com_google_security_zynamics_binnavi_API_disassembly_FunctionNode_appendComment,142,0,2,1,27,0,4,4,1,85,4
143,com_google_security_zynamics_binnavi_API_disassembly_FunctionBlock_getFunction,143,0,1,0,7,0,0,0,0,84,0
144,com_google_security_zynamics_binnavi_API_disassembly_FunctionBlock_toString,144,0,1,0,7,0,1,1,1,84,1
145,com_google_security_zynamics_binnavi_API_disassembly_GroupNode_appendComment,145,0,1,1,17,0,1,1,1,86,1
146,com_google_security_zynamics_binnavi_API_disassembly_GroupNode_getElements,146,0,1,0,7,0,0,0,0,86,0
147,com_google_security_zynamics_binnavi_API_disassembly_GroupNode_addNode,147,0,3,1,15,0,3,3,1,86,3
148,com_google_security_zynamics_binnavi_API_disassembly_GroupNode_removeNode,148,0,1,1,8,0,2,2,1,86,2
149,com_google_security_zynamics_binnavi_API_disassembly_FunctionNode_FunctionNode,149,0,1,4,12,0,1,1,1,85,1
150,com_google_security_zynamics_binnavi_API_disassembly_IGraphNode_getChildren,150,0,1,0,5,0,0,0,0,87,0
151,com_google_security_zynamics_binnavi_API_disassembly_IFunctionNodeListener_deletedComment,151,0,1,2,6,0,0,0,0,88,0
152,com_google_security_zynamics_binnavi_API_disassembly_InliningResult_InliningResult,152,0,1,2,9,0,0,0,0,89,0
153,com_google_security_zynamics_binnavi_API_disassembly_IInstructionListener_deletedComment,153,0,1,2,6,0,0,0,0,90,0
154,com_google_security_zynamics_binnavi_API_disassembly_IInstructionListener_appendedComment,154,0,1,2,6,0,0,0,0,90,0
155,com_google_security_zynamics_binnavi_API_disassembly_Instruction_getNative,155,0,1,0,3,0,0,0,0,91,0
156,com_google_security_zynamics_binnavi_API_disassembly_Instruction_getComment,156,0,1,0,8,0,1,1,1,91,1
157,com_google_security_zynamics_binnavi_API_disassembly_Instruction_convert,157,0,2,2,17,2,8,5,3,91,10
158,com_google_security_zynamics_binnavi_API_disassembly_Instruction_getReilCode,158,0,2,0,20,0,3,3,1,91,3
159,com_google_security_zynamics_binnavi_API_disassembly_Instruction_getAddress,159,0,1,0,7,0,3,3,1,91,3
160,com_google_security_zynamics_binnavi_API_disassembly_Instruction_addListener,160,0,1,1,10,0,1,1,1,91,1
161,com_google_security_zynamics_binnavi_API_disassembly_Instruction_toString,161,0,3,0,16,3,2,2,1,91,5
162,com_google_security_zynamics_binnavi_API_disassembly_Instruction_getData,162,0,1,0,7,0,1,1,1,91,1
163,com_google_security_zynamics_binnavi_API_disassembly_Instruction_initializeComment,163,0,2,1,11,0,2,2,1,91,2
164,com_google_security_zynamics_binnavi_API_disassembly_Module_Module,164,0,3,4,20,1,5,3,3,92,6
165,com_google_security_zynamics_binnavi_API_disassembly_Module_getCreationDate,165,0,1,0,8,0,2,2,1,92,2
166,com_google_security_zynamics_binnavi_API_disassembly_Module_getFunction,166,0,3,1,16,1,5,4,2,92,6
167,com_google_security_zynamics_binnavi_API_disassembly_Operand_create,167,0,1,2,12,1,3,3,1,93,4
168,com_google_security_zynamics_binnavi_API_disassembly_Module_getDescription,168,0,1,0,7,0,2,2,1,92,2
169,com_google_security_zynamics_binnavi_API_disassembly_Module_setImagebase,169,0,1,1,14,0,5,5,1,92,5
170,com_google_security_zynamics_binnavi_API_disassembly_Module_getViews,170,0,2,0,10,1,0,0,0,92,1
171,com_google_security_zynamics_binnavi_API_disassembly_Operand_clone,171,0,3,2,16,1,3,2,2,93,4
172,com_google_security_zynamics_binnavi_API_disassembly_OperandExpression_addReference,172,0,1,2,19,0,6,6,1,94,6
173,com_google_security_zynamics_binnavi_API_disassembly_Operand_getRootNode,173,0,1,0,7,0,0,0,0,93,0
174,com_google_security_zynamics_binnavi_API_disassembly_Project_getName,174,0,1,0,7,0,2,2,1,95,2
175,com_google_security_zynamics_binnavi_API_disassembly_Project_dispose,175,0,1,0,6,0,1,1,1,95,1
176,com_google_security_zynamics_binnavi_API_disassembly_Project_getDescription,176,0,1,0,7,0,2,2,1,95,2
177,com_google_security_zynamics_binnavi_API_disassembly_Project_getCreationDate,177,0,1,0,8,0,2,2,1,95,2
178,com_google_security_zynamics_binnavi_API_disassembly_Project_getTraces,178,0,2,0,10,1,0,0,0,95,1
179,com_google_security_zynamics_binnavi_API_disassembly_Project_getDatabase,179,0,1,0,7,0,0,0,0,95,0
180,com_google_security_zynamics_binnavi_API_disassembly_Project_createView,180,0,2,3,16,2,7,4,2,95,9
181,com_google_security_zynamics_binnavi_API_disassembly_Project_getDebuggerTemplates,181,0,2,0,11,1,0,0,0,95,1
182,com_google_security_zynamics_binnavi_API_disassembly_OperandExpression_OperandExpression,182,0,2,1,11,0,3,3,1,94,3
183,com_google_security_zynamics_binnavi_API_disassembly_Project_getAddressSpaces,183,0,2,0,11,1,0,0,0,95,1
184,com_google_security_zynamics_binnavi_API_disassembly_PartialLoadException_PartialLoadException,184,0,1,1,8,0,3,3,1,96,3
185,com_google_security_zynamics_binnavi_API_disassembly_OperandExpression_toString,185,0,1,0,7,1,0,0,0,94,1
186,com_google_security_zynamics_binnavi_API_disassembly_Project_setName,186,0,1,1,14,0,3,3,1,95,3
187,com_google_security_zynamics_binnavi_API_disassembly_TagManager_TagManager,187,0,1,1,9,1,2,1,2,97,3
188,com_google_security_zynamics_binnavi_API_disassembly_TagManager_findTag,188,0,4,2,18,1,3,2,2,97,4
189,com_google_security_zynamics_binnavi_API_disassembly_Tag_removeListener,189,0,1,1,9,0,1,1,1,98,1
190,com_google_security_zynamics_binnavi_API_disassembly_Tag_toString,190,0,1,0,7,1,0,0,0,98,1
191,com_google_security_zynamics_binnavi_API_disassembly_Tag_setDescription,191,0,1,1,13,0,3,3,1,98,3
192,com_google_security_zynamics_binnavi_API_disassembly_TagManager_clone,192,0,3,2,17,1,3,2,2,97,4
193,com_google_security_zynamics_binnavi_API_disassembly_Tag_getName,193,0,1,0,7,0,2,2,1,98,2
194,com_google_security_zynamics_binnavi_API_disassembly_Tag_Tag,194,0,1,1,8,0,2,2,1,98,2
195,com_google_security_zynamics_binnavi_API_disassembly_Tag_getDescription,195,0,1,0,7,0,2,2,1,98,2
196,com_google_security_zynamics_binnavi_API_disassembly_Reference_getType,196,0,1,0,7,0,1,1,1,99,1
197,com_google_security_zynamics_binnavi_API_disassembly_Project_toString,197,0,4,0,23,3,2,2,1,95,5
198,com_google_security_zynamics_binnavi_API_disassembly_TracePoint_TracePoint,198,0,1,2,12,0,0,0,0,100,0
199,com_google_security_zynamics_binnavi_API_disassembly_Trace_addListener,199,0,1,1,9,0,1,1,1,101,1
200,com_google_security_zynamics_binnavi_API_disassembly_Trace_getEvents,200,0,1,0,7,0,0,0,0,101,0
201,com_google_security_zynamics_binnavi_API_disassembly_View_getReilCode,201,0,1,0,18,0,6,6,1,102,6
202,com_google_security_zynamics_binnavi_API_disassembly_View_getName,202,0,1,0,7,0,1,1,1,102,1
203,com_google_security_zynamics_binnavi_API_disassembly_View_getNodeCount,203,0,1,0,8,0,1,1,1,102,1
204,com_google_security_zynamics_binnavi_API_disassembly_View_getTags,204,0,1,0,7,0,0,0,0,102,0
205,com_google_security_zynamics_binnavi_API_disassembly_ViewEdge_toString,205,0,1,0,7,0,3,2,2,103,3
206,com_google_security_zynamics_binnavi_API_disassembly_ViewEdge_removeListener,206,0,1,1,9,0,1,1,1,103,1
207,com_google_security_zynamics_binnavi_API_disassembly_ViewEdge_setColor,207,0,1,1,7,0,1,1,1,103,1
208,com_google_security_zynamics_binnavi_API_disassembly_ViewEdge_setVisible,208,0,1,1,7,0,1,1,1,103,1
209,com_google_security_zynamics_binnavi_API_disassembly_ViewGraphHelpers_getFunctionNodes,209,0,3,1,16,0,0,0,0,104,0
210,com_google_security_zynamics_binnavi_API_disassembly_ViewNode_getView,210,0,1,0,7,0,0,0,0,105,0
211,com_google_security_zynamics_binnavi_API_disassembly_ViewNode_getColor,211,0,1,0,7,0,1,1,1,105,1
212,com_google_security_zynamics_binnavi_API_disassembly_ViewNode_ViewNode,212,0,1,3,11,0,0,0,0,105,0
213,com_google_security_zynamics_binnavi_API_disassembly_ViewNode_isTagged,213,0,1,1,10,0,3,3,1,105,3
214,com_google_security_zynamics_binnavi_API_disassembly_ViewNode_getOutgoingEdges,214,0,3,0,13,0,3,3,1,105,3
215,com_google_security_zynamics_binnavi_API_disassembly_ViewNode_getX,215,0,1,0,7,0,1,1,1,105,1
216,com_google_security_zynamics_binnavi_API_disassembly_ViewNode_getTags,216,0,1,0,7,1,2,2,1,105,3
217,com_google_security_zynamics_binnavi_API_disassembly_ViewNode_getIncomingEdges,217,0,3,0,13,0,3,3,1,105,3
218,com_google_security_zynamics_binnavi_API_disassembly_ViewNode_setSelected,218,0,1,1,7,0,1,1,1,105,1
219,com_google_security_zynamics_binnavi_API_disassembly_ViewNode_setY,219,0,1,1,7,0,1,1,1,105,1
220,com_google_security_zynamics_binnavi_API_disassembly_ViewNode_isVisible,220,0,1,0,7,0,1,1,1,105,1
221,com_google_security_zynamics_binnavi_API_disassembly_ViewNode_setX,221,0,1,1,7,0,1,1,1,105,1
222,com_google_security_zynamics_binnavi_API_disassembly_FunctionTest_testSetName,222,1,1,0,14,0,8,3,5,106,8
223,com_google_security_zynamics_binnavi_API_disassembly_ModuleTest_testSetDebuggerTemplate,223,1,1,0,9,0,7,3,5,107,7
224,com_google_security_zynamics_binnavi_API_disassembly_ViewNodeTest_testBorderColor,224,1,1,0,9,0,4,1,4,108,4
225,com_google_security_zynamics_binnavi_API_disassembly_ViewTest_testDeleteEdge,225,1,1,0,15,0,10,3,8,109,10
226,com_google_security_zynamics_binnavi_API_disassembly_ViewTest_testConstructor,226,1,1,0,16,0,11,1,11,109,11
227,com_google_security_zynamics_binnavi_API_helpers_TreeNode_toString,227,0,1,0,7,0,0,0,0,110,0
228,com_google_security_zynamics_binnavi_API_plugins_IDatabaseMenuPlugin_extendDatabaseMenu,228,0,1,1,6,0,0,0,0,111,0
229,com_google_security_zynamics_binnavi_API_plugins_IGraphMenuPlugin_extendPluginMenu,229,0,1,1,6,0,0,0,0,112,0
